station_number,statition_nm,Lat,long,station_nm_ko
3138,Intl. Business District,37.399907,126.630347,국제업무지구
3201,Geomdan Oryu,37.594877,126.627178,검단오류
3202,Wanggil,37.59518,126.642696,왕길
3203,Geomdan Sageori,37.60185,126.657108,검단사거리
3204,Majeon,37.597566,126.666998,마전
3205,Wanjeong,37.592928,126.673203,완정
3206,Dokjeong,37.585212,126.675844,독정
3207,Geomam,37.569104,126.673728,검암
3208,Geombawi,37.561405,126.677566,검바위
3209,Asiad Stadium,37.5517,126.677122,아시아드경기장
3210,Seo-gu Office,37.543742,126.676787,서구청
3211,Gajeong,37.524649,126.675539,가정
3212,Gajeong Jungang Market,37.517054,126.676672,가정중앙시장
3213,Seongnam,37.506193,126.676203,석남
3214,West Woman's Community Center,37.506193,126.676203,서부여성회관
3215,Incheon Gajwa,37.4897,126.675208,인천가좌
