line,Station_nm,IN_AM,OUT_AM,INOUT_R_AM,IN_LUNCH,OUT_LUNCH,INOUT_R_LUNCH,IN_DINNER,OUT_DINNER,INOUT_R_DINNER,OUT_AM_IN_DINNER_RATIO,IN_AM_OUT_DINNER_RATIO,INOUT_R_NIGHT,OUT_DINNER_IN_NIGHT_RATIO,IN_NIGHT,OUT_NIGHT,06-07 IN,06-07 OUT,07-08 IN,07-08 OUT,08-09 IN,08-09 OUT,09-10 IN,09-10 OUT,11-12 IN,11-12 OUT,12-13 IN,12-13 OUT,13-14 IN,13-14 OUT,16-17 IN,16-17 OUT,17-18 IN,17-18 OUT,18-19 IN,18-19 OUT,19-20 IN,19-20 OUT,20-21 IN,20-21 OUT,21-22 IN,21-22 OUT,22-23 IN,22-23 OUT,23-24 IN,23-24 OUT,00-01 IN,00-01 OUT
2호선,동대문역사문화공원,50413,163077,30.91361749,87241,134243,64.98737364,222288,181355,122.5706487,73.36293457,27.79796532,127.1779903,188.344463,96289,75712,7391,10024,10137,32019,16216,74464,16669,46570,24101,42155,28448,42349,34692,49739,58218,39413,62700,40876,71109,47310,49609,54005,38870,39164,35894,30754,32926,23647,23682,15578,3787,5733
2호선,용답,35182,15016,234.2967501,14016,10166,137.8713358,17000,31395,54.1487498,88.32941176,112.0624303,21.12407211,788.0271084,3984,18860,3784,1265,9543,1855,14789,4755,7066,7141,4205,2897,4766,3367,5045,3902,5731,6253,6209,6843,5167,10524,3277,8456,2347,5572,1753,6784,1407,6151,706,4511,118,1414
2호선,건대입구,291994,190957,152.9108647,168562,220474,76.4543665,402638,616577,65.30214393,47.42647241,47.35726438,134.3559639,191.4722423,322019,239676,29389,18969,67035,29939,117132,81737,78438,60312,46789,62532,57004,75062,64769,82880,82369,102124,98614,139223,115390,210279,93560,167959,95074,99116,111636,90621,117638,80325,78429,50105,14316,18625
2호선,교대(법원.검찰청),137493,438397,31.362669,149277,212521,70.24105853,425106,275242,154.4480857,103.1265143,49.95349547,203.2380212,150.3840984,183026,90055,15251,31666,33799,77067,47945,174428,40498,155236,44027,72037,46646,66846,58604,73638,73919,63792,102645,74891,168743,97745,86453,65138,67265,37468,78492,33722,72166,32280,26839,18167,5529,5886
2호선,삼성(무역센터),91227,844746,10.79934087,188447,355223,53.05033739,945802,269295,351.2140961,89.31531124,33.87623238,456.7708077,96.68923868,278516,60975,9977,45881,22241,140840,29270,372585,29739,285440,45198,121766,61014,109827,82235,123630,149466,87663,216007,85891,347348,93793,220649,60193,161798,29418,140416,23140,103950,21025,29678,11034,4472,5776
2호선,역삼,89415,837777,10.67288789,150025,212508,70.59734222,718427,205031,350.3992079,116.612683,43.61047842,313.9807932,104.1707736,196822,62686,10075,41289,18384,132457,31165,378987,29791,285044,40708,75760,48436,62595,60881,74153,100447,52612,170447,57286,301570,68381,152997,50662,93413,28702,95609,23802,68007,20471,28385,13676,4821,4737
2호선,잠실(송파구청),544569,561842,96.92564814,345592,408959,84.50529271,913197,811191,112.5748437,61.52473125,67.13203179,126.8877188,208.557053,388954,306534,55591,45946,140557,102253,200470,219549,147951,194094,102271,136614,112977,131176,130344,141169,173873,168632,220881,196426,292771,273985,203219,211635,196326,129145,184981,113682,149539,110235,48786,65513,5648,17104
2호선,을지로입구,58224,688660,8.454680103,164827,266196,61.91941276,776169,240589,322.6120064,88.72552241,24.20060768,415.180919,90.6911084,265284,63896,4043,31290,9838,134445,18305,353816,26038,169109,44726,103109,52654,79651,67447,83436,106501,70337,154350,73781,313807,83867,160398,51434,147614,31507,126560,24982,91483,20930,42517,13655,4724,4329
2호선,신설동,17840,37470,47.61142247,25875,27086,95.5290556,46368,23351,198.5696544,80.81004141,76.39929767,76.90764883,276.8018018,8436,10969,1803,2162,3761,6525,6906,15899,5370,12884,7469,9396,8583,8672,9823,9018,12138,6931,14097,7143,19205,7122,8233,5446,4833,3640,3981,3535,3179,3662,1137,2906,139,866
2호선,신대방,402130,104542,384.6587974,135664,82758,163.9285628,153600,335852,45.73443064,68.06119792,119.7342877,20.96971551,765.5269876,43872,209216,42553,12206,109082,22616,151021,41154,99474,28566,46098,24269,45418,26533,44148,31956,39401,53244,42860,71246,53611,103220,32874,95593,24255,65793,19602,71251,15184,77633,7643,45595,1443,14737
2호선,왕십리(성동구청),145866,83376,174.9496258,88514,66120,133.8687235,175558,190678,92.07040141,47.49199695,76.49859973,123.7288136,172.1837441,110741,89503,13624,7832,33675,15098,60437,35044,38130,25402,26267,19924,30012,22144,32235,24052,41602,31412,48640,40988,54456,66697,37412,51219,35050,31774,39253,28749,39435,29838,26914,21626,5139,9290
2호선,상왕십리,169224,85285,198.4217623,69767,48665,143.361759,100785,149776,67.29048713,84.62072729,112.9847239,39.70117116,495.3237648,30238,76164,15081,6434,43643,12980,71818,43335,38682,22536,23290,14367,23190,15681,23287,18617,22626,25249,26997,32542,35022,51304,23641,39381,15125,26549,14310,26470,10581,26165,4597,17319,750,6210
3호선,구파발,287903,109541,262.8267042,101917,87834,116.0336544,133916,234890,57.01221849,81.79829147,122.5692878,36.34663732,578.1907692,40625,111771,34534,11878,100440,27560,98188,36117,54741,33986,33123,27751,35180,29091,33614,30992,42908,39780,45842,47099,40416,74667,26727,70560,20931,42564,18713,39318,15666,37040,5375,26462,871,8951
3호선,안국,35202,349876,10.06127885,96197,184674,52.0901697,374189,100734,371.4624655,93.50248137,34.94550003,450.8282133,109.8265392,91721,20345,4192,24597,7610,112743,11011,125682,12389,86854,22101,67535,31904,58336,42192,58803,81563,38557,120679,35383,138041,36200,63126,19150,52343,10001,48751,7273,32062,7316,9792,4366,1116,1390
